Tên dịch vụ,Đơn giá,Mô tả,Loại tiền tệ
Khám tổng quát,500000,Kiểm tra sức khỏe tổng quát định kỳ,VND
Xét nghiệm máu,300000,Xét nghiệm công thức máu và sinh hóa máu,VND
Chụp X-quang,400000,Chụp X-quang kiểm tra xương và nội tạng,VND
Siêu âm bụng,350000,Siêu âm tổng quát vùng bụng,VND
Nội soi dạ dày,1200000,Kiểm tra dạ dày bằng nội soi,VND
Tiêm phòng vắc-xin,600000,Tiêm phòng các loại vắc-xin quan trọng,VND
Khám mắt,250000,Kiểm tra thị lực và các bệnh lý về mắt,VND
Siêu âm tim,800000,Siêu âm kiểm tra hoạt động của tim,VND
Chụp MRI,2500000,Chụp cộng hưởng từ MRI để kiểm tra bệnh lý,VND
Xét nghiệm đường huyết,200000,Kiểm tra lượng đường trong máu,VND
